pass_no,rel,exit_code,seconds,log_file
1,eval\build_kpis_peso_tallo_ml2.py,0,1.36,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_peso_tallo_ml2.py.log
1,eval\build_kpis_poscosecha_ml2_baseline.py,1,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_poscosecha_ml2_baseline.py.log
1,eval\build_kpis_share_grado_ml2.py,1,0.78,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_share_grado_ml2.py.log
1,eval\build_kpis_tallos_curve_ml2.py,0,0.79,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_tallos_curve_ml2.py.log
1,audit\audit_ajuste_poscosecha_ml2.py,1,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_ajuste_poscosecha_ml2.py.log
1,audit\audit_desp_poscosecha_ml2.py,1,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_desp_poscosecha_ml2.py.log
1,audit\audit_dh_poscosecha_ml2.py,1,0.68,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_dh_poscosecha_ml2.py.log
1,audit\audit_dist_grado_ml1.py,0,1.14,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_dist_grado_ml1.py.log
1,audit\audit_harvest_horizon_ml2.py,1,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_harvest_horizon_ml2.py.log
1,audit\audit_harvest_start_ml2.py,1,0.67,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_harvest_start_ml2.py.log
1,audit\audit_harvest_windows_real.py,0,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_harvest_windows_real.py.log
1,audit\audit_hidr_poscosecha_ml2.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_hidr_poscosecha_ml2.py.log
1,audit\audit_mass_balance_pred_oferta_vs_gold.py,0,1.20,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_mass_balance_pred_oferta_vs_gold.py.log
1,audit\audit_mismatch_tallos_grado_vs_dia.py,0,6.42,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_mismatch_tallos_grado_vs_dia.py.log
1,audit\audit_ml1_curva_clipping_impact.py,0,1.44,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_ml1_curva_clipping_impact.py.log
1,audit\audit_ml1_curva_share_vs_real.py,1,0.95,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_ml1_curva_share_vs_real.py.log
1,audit\audit_ml1_curva_shares.py,1,1.25,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_ml1_curva_shares.py.log
1,audit\audit_peso_tallo_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_peso_tallo_ml2.py.log
1,audit\audit_poscosecha_ml2_baseline.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_poscosecha_ml2_baseline.py.log
1,audit\audit_poscosecha_seed.py,0,2.61,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_poscosecha_seed.py.log
1,audit\audit_share_grado_ml2.py,1,0.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_share_grado_ml2.py.log
1,audit\audit_tallos_curve_ml2.py,1,0.79,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_tallos_curve_ml2.py.log
1,audit\audit_universe_harvest_grid_ml1.py,0,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__audit__audit_universe_harvest_grid_ml1.py.log
2,gold\build_ds_ajuste_poscosecha_ml2_v1.py,1,0.69,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_ds_ajuste_poscosecha_ml2_v1.py.log
2,gold\build_ds_desp_poscosecha_ml2_v1.py,1,0.69,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_ds_desp_poscosecha_ml2_v1.py.log
2,gold\build_ds_dh_poscosecha_ml2_v1.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_ds_dh_poscosecha_ml2_v1.py.log
2,gold\build_ds_hidr_poscosecha_ml2_v1.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_ds_hidr_poscosecha_ml2_v1.py.log
2,gold\build_pred_kg_cajas_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_pred_kg_cajas_ml2.py.log
2,gold\build_pred_poscosecha_ml2_final_views.py,1,0.75,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_pred_poscosecha_ml2_final_views.py.log
