layer,step,ok,skipped,seconds,returncode,stdout,stderr
preds,pred_tallos_cosecha_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_tallos_cosecha_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_tallos_cosecha_dia.err.log
preds,capacidad_cosecha_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__capacidad_cosecha_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__capacidad_cosecha_dia.err.log
preds,pred_horas_poscosecha,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_horas_poscosecha.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_horas_poscosecha.err.log
preds,pred_plan_horas_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_plan_horas_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_plan_horas_dia.err.log
preds,patch_ciclo_maestro_from_pred_tallos,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__patch_ciclo_maestro_from_pred_tallos.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__patch_ciclo_maestro_from_pred_tallos.err.log
features,features_ciclo_fecha,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\features__features_ciclo_fecha.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\features__features_ciclo_fecha.err.log
models,features_harvest_window_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_harvest_window_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_harvest_window_ml1.err.log
models,apply_harvest_window_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_harvest_window_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_harvest_window_ml1.err.log
models,universe_harvest_grid_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__universe_harvest_grid_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__universe_harvest_grid_ml1.err.log
models,features_curva_cosecha_bloque_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_curva_cosecha_bloque_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_curva_cosecha_bloque_dia.err.log
models,cap_tallos_real_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__cap_tallos_real_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__cap_tallos_real_dia.err.log
models,targets_curva_beta_params,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__targets_curva_beta_params.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__targets_curva_beta_params.err.log
models,targets_curva_beta_multiplier_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__targets_curva_beta_multiplier_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__targets_curva_beta_multiplier_dia.err.log
models,features_cosecha_bloque_fecha,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_cosecha_bloque_fecha.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_cosecha_bloque_fecha.err.log
models,apply_dist_grado_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_dist_grado_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_dist_grado_ml1.err.log
models,features_peso_tallo_grado_bloque_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_peso_tallo_grado_bloque_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__features_peso_tallo_grado_bloque_dia.err.log
models,apply_peso_tallo_grado_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_peso_tallo_grado_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_peso_tallo_grado_ml1.err.log
models,apply_curva_beta_params,1,0,7.126,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_curva_beta_params.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\models__apply_curva_beta_params.err.log
gold,pred_tallos_grado_dia_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_tallos_grado_dia_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_tallos_grado_dia_ml1.err.log
gold,pred_tallos_grado_dia_ml1_full,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_tallos_grado_dia_ml1_full.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_tallos_grado_dia_ml1_full.err.log
gold,pred_kg_cajas_grado_dia_ml1_full,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_kg_cajas_grado_dia_ml1_full.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_kg_cajas_grado_dia_ml1_full.err.log
